name,bref_id,nicknames,nickname1,nickname2,nickname3,nickname4,nickname5,nickname6
David Aardsma,aardsda01,['The DA'],The DA,,,,,
Henry Aaron,aaronha01,"['Hammer', ""Hammerin' Hank"", 'Bad Henry']",Hammer,Hammerin' Hank,Bad Henry,,,
Fernando Abad,abadfe01,['Nandito'],Nandito,,,,,
Ed Abbaticchio,abbated01,['Batty'],Batty,,,,,
Dan Abbott,abbotda01,['Big Dan'],Big Dan,,,,,
Al Aber,aberal01,['Lefty'],Lefty,,,,,
Cliff Aberson,aberscl01,['Kif'],Kif,,,,,
Harry Ables,ablesha01,['Hans'],Hans,,,,,
Cal Abrams,abramca01,['Abie'],Abie,,,,,
Bobby Abreu,abreubo01,"['El Come Dulce', 'La Leche']",El Come Dulce,La Leche,,,,
Jose Abreu,abreujo02,"['Oso', 'Yogi', 'Mal Tiempo', 'Pito']",Oso,Yogi,Mal Tiempo,Pito,,
Bill Abstein,abstebi01,['Big Bill'],Big Bill,,,,,
Alfredo Aceves,aceveal01,['Ace'],Ace,,,,,
Jose Acosta,acostjo01,['Acostica'],Acostica,,,,,
Manny Acta,actama99,['El Porto'],El Porto,,,,,
Ronald Acuna Jr.,acunaro01,"['Sabanero Soy', 'El De La Sabana', 'El Abusador']",Sabanero Soy,El De La Sabana,El Abusador,,,
Jerry Adair,adairje01,['Casper the Friendly Ghost'],Casper the Friendly Ghost,,,,,
Jimmy Adair,adairji01,['Choppy'],Choppy,,,,,
Cristhian Adames,adamecr01,['El Chavo'],El Chavo,,,,,
Willy Adames,adamewi01,['The Kid'],The Kid,,,,,
Austin Adams,adamsau02,['A2'],A2,,,,,
Dan Adams,adamsda01,['Rube'],Rube,,,,,
Joe Adams,adamsjo01,['Wagon Tongue'],Wagon Tongue,,,,,
Karl Adams,adamska01,['Rebel'],Rebel,,,,,
Lane Adams,adamsla01,['LA Swiftness'],LA Swiftness,,,,,
Matt Adams,adamsma01,"['Big City', 'Jumbo Pepsi']",Big City,Jumbo Pepsi,,,,
Jim Adduci,adducji02,['Deuce'],Deuce,,,,,
Bob Addy,addybo01,['Magnet'],Magnet,,,,,
Grady Adkins,adkingr01,['Butcher Boy'],Butcher Boy,,,,,
Merle Adkins,adkindo01,['Doc'],Doc,,,,,
Tim Adleman,adlemti01,['The Microwave'],The Microwave,,,,,
Ehire Adrianza,adriaeh01,['Guarenero'],Guarenero,,,,,
Harry Agganis,agganha01,['The Golden Greek'],The Golden Greek,,,,,
Sam Agnew,agnewsa01,['Slam'],Slam,,,,,
Dario Agrazal,agrazda01,['Rey'],Rey,,,,,
Jesus Aguilar,aguilje01,"['Dino', 'El Causa']",Dino,El Causa,,,,
Nick Ahmed,ahmedni01,['Slick Nick'],Slick Nick,,,,,
Eddie Ainsmith,ainsmed01,['Dorf'],Dorf,,,,,
Jack Aker,akerja01,['Chief'],Chief,,,,,
Bill Akers,akersbi01,['Bump'],Bump,,,,,
Matt Albers,alberma01,"['Albie', 'Big Salt']",Albie,Big Salt,,,,
Hanser Alberto,alberha01,"['Radio', '#Femalta']",Radio,#Femalta,,,,
Ozzie Albies,albieoz01,['Puchi'],Puchi,,,,,
Ed Albosta,albosed01,['Rube'],Rube,,,,,
Arismendy Alcantara,alcanar01,['Arismel'],Arismel,,,,,
Israel Alcantara,alcanis01,['Izzy'],Izzy,,,,,
Sandy Alcantara,alcansa01,['Sandman'],Sandman,,,,,
Victor Alcantara,alcanvi01,['V'],V,,,,,
Dale Alexander,alexada01,['Moose'],Moose,,,,,
Grover Alexander,alexape01,['Old Pete'],Old Pete,,,,,
Scott Alexander,alexasc02,['Scottie Boy'],Scottie Boy,,,,,
Tyler Alexander,alexaty01,['Todd the Painter'],Todd the Painter,,,,,
Jorge Alfaro,alfarjo01,"['The Legend', 'El Oso']",The Legend,El Oso,,,,
Antonio Alfonseca,alfonan01,"['El Pulpo', 'The Octopus']",El Pulpo,The Octopus,,,,
Edgardo Alfonzo,alfoned01,['Fonzie'],Fonzie,,,,,
Cody Allen,allenco01,['Pollo'],Pollo,,,,,
Dick Allen,allendi01,"['Wampum Walloper', 'Richie', 'Crash']",Wampum Walloper,Richie,Crash,,,
Earl Allen,allenbo03,['Thin Man'],Thin Man,,,,,
Hezekiah Allen,allenhe01,['Ki'],Ki,,,,,
Horace Allen,allenho01,['Pug'],Pug,,,,,
Myron Allen,allenmy01,['Zeke'],Zeke,,,,,
Rafael Almeida,almeira01,['Mike'],Mike,,,,,
Abraham Almonte,almonab01,['El Varon'],El Varon,,,,,
Yency Almonte,almonye01,['Showtime'],Showtime,,,,,
Albert Almora,almoral01,['Tico'],Tico,,,,,
Luis Aloma,alomalu01,['Witto'],Witto,,,,,
Sandy Alomar,alomasa01,['Iron Pony'],Iron Pony,,,,,
Sandy Alomar,alomasa02,['Santos'],Santos,,,,,
Pete Alonso,alonspe01,['Polar Bear'],Polar Bear,,,,,
Yonder Alonso,alonsyo01,['Mr. 305'],Mr. 305,,,,,
Felipe Alou,aloufe01,['El Panque de Haina'],El Panque de Haina,,,,,
Jesus Alou,alouje01,['Jay'],Jay,,,,,
Garvin Alston,alstoga01,['G Baby'],G Baby,,,,,
Walter Alston,alstowa01,['Smokey'],Smokey,,,,,
Dan Altavilla,altavda01,['Buzzy'],Buzzy,,,,,
Ernie Alten,altener01,['Lefty'],Lefty,,,,,
Aaron Altherr,altheaa01,"['The Fresh Prince of Altherr', 'A-a-ron', 'Rhineland Rocket']",The Fresh Prince of Altherr,A-a-ron,Rhineland Rocket,,,
Dave Altizer,altizda01,"['Daredevil', 'Filipino']",Daredevil,Filipino,,,,
George Altman,altmage01,['Big George'],Big George,,,,,
Jose Altuve,altuvjo01,['Tuve'],Tuve,,,,,
Jose Alvarado,alvarjo03,"['El Pocho', 'La Flecha']",El Pocho,La Flecha,,,,
Luis Alvarado,alvarlu01,['Pimba'],Pimba,,,,,
Henderson Alvarez III,alvarhe01,['The Entertainer'],The Entertainer,,,,,
Jose Alvarez,alvarjo02,"['Kike', 'El Llave']",Kike,El Llave,,,,
Pedro Alvarez,alvarpe01,['El Toro'],El Toro,,,,,
Yordan Alvarez,alvaryo01,['Air Yordan'],Air Yordan,,,,,
Billy Alvord,alvorbi01,['Uncle Bill'],Uncle Bill,,,,,
Alexi Amarista,amarial01,"['Mighty Mouse', 'Little Ninja']",Mighty Mouse,Little Ninja,,,,
Larry Andersen,anderla02,"['LA', 'Mr. Jello']",LA,Mr. Jello,,,,
Bill Anderson,anderbi01,['Lefty'],Lefty,,,,,
Brett Anderson,anderbr04,['Noon'],Noon,,,,,
Brian Anderson,anderbr02,['Antic'],Antic,,,,,
Brian Anderson,anderbr06,['Andy'],Andy,,,,,
Chase Anderson,anderch01,"['Texas', 'Chaser']",Texas,Chaser,,,,
Cody Anderson,anderco01,['Big Rig'],Big Rig,,,,,
Ferrell Anderson,anderfe01,['Andy'],Andy,,,,,
George Anderson,anderge01,['Andy'],Andy,,,,,
Harry Anderson,anderha02,['Harry the Horse'],Harry the Horse,,,,,
John Anderson,anderjo01,['Honest John'],Honest John,,,,,
Justin Anderson,anderju01,['Ando'],Ando,,,,,
Nick Anderson,anderni01,['Ando'],Ando,,,,,
Shaun Anderson,andersh01,['Bigg Shaun'],Bigg Shaun,,,,,
Sparky Anderson,andersp01,"['Captain Hook', 'Sparky']",Captain Hook,Sparky,,,,
Tim Anderson,anderti01,['TA7'],TA7,,,,,
Tyler Anderson,anderty01,"['Ricky F.', 'Mr. Duck']",Ricky F.,Mr. Duck,,,,
Varney Anderson,anderva01,['Varn'],Varn,,,,,
Walter Anderson,anderwa01,['Lefty'],Lefty,,,,,
Ernie Andres,andreer01,['Junie'],Junie,,,,,
Ivy Andrews,andreiv01,['Poison'],Poison,,,,,
Stan Andrews,andrest01,['Polo'],Polo,,,,,
Matt Andriese,andrima01,['Dreezy'],Dreezy,,,,,
Bill Andrus,andrubi01,['Andy'],Andy,,,,,
Elvis Andrus,andruel01,"['Comando', 'Merulo Jr']",Comando,Merulo Jr,,,,
Miguel Andujar,andujmi01,['Papa'],Papa,,,,,
Cap Anson,ansonca01,"['Cap', 'Pop', 'The Marshalltown Infant']",Cap,Pop,The Marshalltown Infant,,,
Luis Aparicio,aparilu01,['Little Louie'],Little Louie,,,,,
Kevin Appier,appieke01,['Ape'],Ape,,,,,
Ed Appleton,appleed01,['Whitey'],Whitey,,,,,
Pete Appleton,applepe01,['Jake'],Jake,,,,,
Luke Appling,applilu01,"['Old Aches and Pains', 'Luscious Luke']",Old Aches and Pains,Luscious Luke,,,,
Aristides Aquino,aquinar01,['PJ'],PJ,,,,,
Jayson Aquino,aquinja01,['Kendry'],Kendry,,,,,
Angel Aragon,aragoan01,['Pete'],Pete,,,,,
Victor Arano,aranovi01,['El Wey'],El Wey,,,,,
Pedro Araujo,araujpe01,['El Montro'],El Montro,,,,,
Maurice Archdeacon,archdma01,"['Flash', 'Comet']",Flash,Comet,,,,
Chris Archer,archech01,['Flaco Fuerte'],Flaco Fuerte,,,,,
Fred Archer,archefr01,['Lefty'],Lefty,,,,,
Francisco Arcia,arciafr01,['Frankie'],Frankie,,,,,
Orlando Arcia,arciaor01,['El Nino'],El Nino,,,,,
Joe Ardner,ardnejo01,['Old Hoss'],Old Hoss,,,,,
Nolan Arenado,arenano01,"['Nado', 'Sandblaster']",Nado,Sandblaster,,,,
Hank Arft,arftha01,['Bow Wow'],Bow Wow,,,,,
Harry Armbruster,armbrha01,['Army'],Army,,,,,
George Armstrong,armstge01,['Dodo'],Dodo,,,,,
Shawn Armstrong,armstsh01,['Armie'],Armie,,,,,
Morrie Arnovich,arnovmo01,['Snooker'],Snooker,,,,,
Orie Arntzen,arntzor01,['Old Folks'],Old Folks,,,,,
Luis Arraez,arraelu01,['La Regadera'],La Regadera,,,,,
Jake Arrieta,arrieja01,['Snake'],Snake,,,,,
Bronson Arroyo,arroybr01,"['Saturn Nuts', 'Smokey', 'Tacks', 'Dirty', 'BroYo', 'Free Love']",Saturn Nuts,Smokey,Tacks,Dirty,BroYo,Free Love
Humberto Arteaga,arteahu01,['Arty'],Arty,,,,,
Jim Asbell,asbelji01,['Big Train'],Big Train,,,,,
Richie Ashburn,ashburi01,"['Whitey', 'Put Put']",Whitey,Put Put,,,,
Alec Asher,asheral01,['The Big Cat'],The Big Cat,,,,,
Billy Ashley,ashlebi01,['Light-Tower Power'],Light-Tower Power,,,,,
Willians Astudillo,astudwi01,['Tortuga'],Tortuga,,,,,
Carlos Asuaje,asuajca01,['Carl'],Carl,,,,,
Charlie Atherton,atherch01,['Prexy'],Prexy,,,,,
Harry Aubrey,aubreha01,['Chub'],Chub,,,,,
Rick Auerbach,auerbri01,['Reindeer'],Reindeer,,,,,
Elden Auker,aukerel01,"['Submarine', 'Big Six']",Submarine,Big Six,,,,
Tex Aulds,auldsle01,['Tex'],Tex,,,,,
Brad Ausmus,ausmubr01,['Aus'],Aus,,,,,
Jimmy Austin,austiji01,['Pepper'],Pepper,,,,,
Tyler Austin,austity01,['TA'],TA,,,,,
Martin Autry,autrych02,['Chick'],Chick,,,,,
Earl Averill,averiea01,"['Rock', 'The Earl of Snohomish']",Rock,The Earl of Snohomish,,,,
Alex Avila,avilaal01,"['Titanium Catcher', 'Parkman']",Titanium Catcher,Parkman,,,,
Luis Avilan,avilalu01,['Avi'],Avi,,,,,
John Axford,axforjo01,['Ax Man'],Ax Man,,,,,
Erick Aybar,aybarer01,"['Admiral', 'EA']",Admiral,EA,,,,
Dick Aylward,aylwadi01,['Dandy'],Dandy,,,,,
Joe Azcue,azcuejo01,['The Immortal Azcue'],The Immortal Azcue,,,,,
Loren Babe,babelo01,['Bee Bee'],Bee Bee,,,,,
Fred Baczewski,baczefr01,['Lefty'],Lefty,,,,,
Harrison Bader,baderha01,['Tots'],Tots,,,,,
Lore Bader,baderlo01,['King'],King,,,,,
Javier Baez,baezja01,"['Javy', 'El Mago']",Javy,El Mago,,,,
Michel Baez,baezmi01,['Papaso'],Papaso,,,,,
Pedro Baez,baezpe01,"['The Human Rain Delay', 'La Mula']",The Human Rain Delay,La Mula,,,,
Jim Bagby,bagbyji01,['Sarge'],Sarge,,,,,
Bill Bagwell,bagwebi01,['Big Bill'],Big Bill,,,,,
Jeff Bagwell,bagweje01,"['Baggy', 'BagPipes']",Baggy,BagPipes,,,,
Stan Bahnsen,bahnsst01,"['Bahnsen Burner', 'Bonce']",Bahnsen Burner,Bonce,,,,
Abraham Bailey,bailesw01,['Sweetbread'],Sweetbread,,,,,
Andrew Bailey,bailean01,['Bails'],Bails,,,,,
Fred Bailey,bailefr01,['Penny'],Penny,,,,,
Homer Bailey,baileho02,['Homer'],Homer,,,,,
Patrick Bailey,bailepa01,['Patty Barrels'],Patty Barrels,,,,,
Bock Baker,bakerbo01,['Smiling Bock'],Smiling Bock,,,,,
Home Run Baker,bakerfr01,['Home Run'],Home Run,,,,,
Jesse Baker,bakerje02,['Tiny'],Tiny,,,,,
Kirtley Baker,bakerki01,['Whitey'],Whitey,,,,,
Tom Baker,bakerto01,['Rattlesnake'],Rattlesnake,,,,,
Steve Balboni,balbost01,['Bye Bye'],Bye Bye,,,,,
Rocco Baldelli,baldero01,['Woonsocket Rocket'],Woonsocket Rocket,,,,,
Henry Baldwin,baldwhe01,['Ted'],Ted,,,,,
Mark Baldwin,baldwma01,['Fido'],Fido,,,,,
Hal Bamberger,bambeha01,['Dutch'],Dutch,,,,,
Dave Bancroft,bancrda01,['Beauty'],Beauty,,,,,
Sal Bando,bandosa01,['Captain Sal'],Captain Sal,,,,,
Jett Bandy,bandyje01,['Sinker-Slider'],Sinker-Slider,,,,,
Jeff Banister,banisje01,['Banny Rooster'],Banny Rooster,,,,,
Ernie Banks,bankser01,['Mr. Cub'],Mr. Cub,,,,,
Jimmy Bannon,bannoji01,['Foxy Grandpa'],Foxy Grandpa,,,,,
Tom Bannon,bannoto01,"['Ward Six', 'Uncle Tom']",Ward Six,Uncle Tom,,,,
Walter Barbare,barbawa01,['Dinty'],Dinty,,,,,
Johnny Barbato,barbajo01,['JB3'],JB3,,,,,
William Barbeau,barbeja01,['Billy'],Billy,,,,,
George Barclay,barclge01,['Deerfoot'],Deerfoot,,,,,
Josh Bard,bardjo01,['Bardo'],Bardo,,,,,
Luke Bard,bardlu01,['Bardo'],Bardo,,,,,
Clyde Barfoot,barfocl01,['Foots'],Foots,,,,,
Len Barker,barkele01,['Large Lenny'],Large Lenny,,,,,
Ray Barker,barkera01,['Buddy'],Buddy,,,,,
Scott Barlow,barlosc01,['Scoots McGoots'],Scoots McGoots,,,,,
Bruce Barmes,barmebr01,['Squeaky'],Squeaky,,,,,
Austin Barnes,barneau01,['Sam'],Sam,,,,,
Bob Barnes,barnebo01,['Lefty'],Lefty,,,,,
Danny Barnes,barneda02,['Barnzy'],Barnzy,,,,,
Frank Barnes,barnefr01,['Lefty'],Lefty,,,,,
Jacob Barnes,barneja01,"['Caveman', 'King Cobra']",Caveman,King Cobra,,,,
Jesse Barnes,barneje01,['Nubby'],Nubby,,,,,
Junie Barnes,barneju01,['Lefty'],Lefty,,,,,
Matt Barnes,barnema01,"['Barnicles', 'Barnesy', 'Matty Backpacks']",Barnicles,Barnesy,Matty Backpacks,,,
Virgil Barnes,barnevi01,['Zeke'],Zeke,,,,,
Tony Barnette,barneto01,['Barnitez'],Barnitez,,,,,
Darwin Barney,barneda01,['Dar Bar'],Dar Bar,,,,,
Clyde Barnhart,barnhcl01,['Pooch'],Pooch,,,,,
Les Barnhart,barnhle01,['Barney'],Barney,,,,,
Tucker Barnhart,barnhtu01,"['Barney', 'Tuck']",Barney,Tuck,,,,
George Barnicle,barnige01,['Barney'],Barney,,,,,
Billy Barnie,barnibi01,['Bald Billy'],Bald Billy,,,,,
Kyle Barraclough,barraky01,['Bear'],Bear,,,,,
Tres Barrera,barretr01,['Tres'],Tres,,,,,
Franklin Barreto,barrefr02,['Kaki'],Kaki,,,,,
Aaron Barrett,barreaa01,['Bear'],Bear,,,,,
Bill Barrett,barrebi02,['Whispering Bill'],Whispering Bill,,,,,
Bob Barrett,barrebo01,['Jumbo'],Jumbo,,,,,
Dick Barrett,barredi01,['Kewpie Dick'],Kewpie Dick,,,,,
Frank Barrett,barrefr01,['Red'],Red,,,,,
Jake Barrett,barreja01,['Big Bear'],Big Bear,,,,,
Johnny Barrett,barrejo01,['Jack'],Jack,,,,,
Marty Barrett,barrema02,['Dekemaster'],Dekemaster,,,,,
Jaime Barria,barrija01,['El Pana'],El Pana,,,,,
Ed Barry,barryed01,['Jumbo'],Jumbo,,,,,
Hardin Barry,barryha01,['Finn'],Finn,,,,,
John Barry,barrysh01,['Shad'],Shad,,,,,
Kimera Bartee,barteki01,['KB'],KB,,,,,
Dick Bartell,bartedi01,"['Rowdy Richard', 'Shortwave']",Rowdy Richard,Shortwave,,,,
John Barthold,barthjo01,['Hans'],Hans,,,,,
Tyler Bashlor,bashlty01,['Bash'],Bash,,,,,
Eddie Basinski,basined01,"['Bazooka', 'Fiddler']",Bazooka,Fiddler,,,,
Jim Baskette,baskeji01,['Big Jim'],Big Jim,,,,,
Anthony Bass,bassan01,"['Fish', 'T-Fish']",Fish,T-Fish,,,,
Chris Bassitt,bassich01,['C Bass'],C Bass,,,,,
Antonio Bastardo,bastaan01,['Speedy B'],Speedy B,,,,,
Emil Batch,batchem01,"['Heinie', 'Ace']",Heinie,Ace,,,,
Joe Batchelder,batchjo01,['Win'],Win,,,,,
Hubert Bates,batesbu01,['Bud'],Bud,,,,,
Rafael Batista,batisra01,['El Gallo (The Rooster)'],El Gallo (The Rooster),,,,,
Trevor Bauer,bauertr01,['Bauer Outage'],Bauer Outage,,,,,
Jake Bauers,bauerja01,['JB'],JB,,,,,
Buddy Baumann,baumabu01,['George'],George,,,,,
Frank Baumann,baumafr01,['Beau'],Beau,,,,,
Mike Baumann,baumami01,['Big Mike'],Big Mike,,,,,
Felix Bautista,bautife01,['The Mountain'],The Mountain,,,,,
Gerson Bautista,bautige01,['Yeison'],Yeison,,,,,
Jose Bautista,bautijo02,['Joey Bats'],Joey Bats,,,,,
Harry Bay,bayha01,['Deer Foot'],Deer Foot,,,,,
Don Baylor,baylodo01,"['Groove', 'The Sneak Thief']",Groove,The Sneak Thief,,,,
Bill Bayne,baynebi01,['Beverly'],Beverly,,,,,
Shane Baz,bazsh01,['Wizard of Baz'],Wizard of Baz,,,,,
Belve Bean,beanbe01,['Bill'],Bill,,,,,
Bill Bean,beanbi01,['Billy'],Billy,,,,,
Tony Beasley,beaslto99,['Lil Tee'],Lil Tee,,,,,
Pedro Beato,beatope01,['El Barbero'],El Barbero,,,,,
Desmond Beatty,beattde01,['Desperate'],Desperate,,,,,
Matt Beaty,beatyma01,['Baters Taters'],Baters Taters,,,,,
Johnny Beazley,beazljo01,['Nig'],Nig,,,,,
Chris Beck,beckch02,['Bubba'],Bubba,,,,,
Clyde Beck,beckcl01,['Jersey'],Jersey,,,,,
Erve Beck,becker01,['Dutch'],Dutch,,,,,
Rod Beck,beckro01,['Shooter'],Shooter,,,,,
Henry Beckendorf,beckehe01,['Heinie'],Heinie,,,,,
Charlie Becker,beckech01,['Buck'],Buck,,,,,
Heinz Becker,beckehe02,"['Dutch', 'Bunions']",Dutch,Bunions,,,,
Gordon Beckham,beckhgo01,['Gordo'],Gordo,,,,,
Tim Beckham,beckhti01,['Swaggy T'],Swaggy T,,,,,
Jake Beckley,becklja01,['Eagle Eye'],Eagle Eye,,,,,
Cam Bedrosian,bedroca01,['Bedrock'],Bedrock,,,,,
Steve Bedrosian,bedrost01,['Bedrock'],Bedrock,,,,,
Roy Beecher,beechro01,['Colonel'],Colonel,,,,,
Tyler Beede,beedety01,['Beedah'],Beedah,,,,,
Jalen Beeks,beeksja02,['Beeker'],Beeker,,,,,
Joe Beggs,beggsjo01,['Fireman'],Fireman,,,,,
Jim Begley,begleji01,['Imp'],Imp,,,,,
Mark Belanger,belanma01,['The Blade'],The Blade,,,,,
Jeff Beliveau,belivje01,['Belly'],Belly,,,,,
Bill Bell,bellbi01,['Ding Dong'],Ding Dong,,,,,
Chad Bell,bellch02,['Wick'],Wick,,,,,
Cool Papa Bell,bellco99,['Cool Papa'],Cool Papa,,,,,
Fern Bell,bellfe01,['Danny'],Danny,,,,,
Gary Bell,bellga01,['Ding Dong'],Ding Dong,,,,,
George Bell,bellge01,['Farmer'],Farmer,,,,,
George Bell,bellge02,['Liberty'],Liberty,,,,,
Herman Bell,bellhi01,['Hi'],Hi,,,,,
Josh Bell,belljo02,['JB'],JB,,,,,
Juan Bell,bellju01,['Tito'],Tito,,,,,
Ralph Bell,bellra01,['Lefty'],Lefty,,,,,
Albert Belle,belleal01,"['Joey', 'Mr. Freeze']",Joey,Mr. Freeze,,,,
Rafael Belliard,bellira01,['Pac-Man'],Pac-Man,,,,,
Cody Bellinger,bellico01,"['Belli', 'Cody Love']",Belli,Cody Love,,,,
Jack Bellman,bellmja01,['Happy Jack'],Happy Jack,,,,,
Brandon Belt,beltbr01,"['Baby Giraffe', 'Bob', 'The Captain']",Baby Giraffe,Bob,The Captain,,,
Carlos Beltran,beltrca01,['Ivan'],Ivan,,,,,
Adrian Beltre,beltrad01,['El Koja'],El Koja,,,,,
Johnny Bench,benchjo01,['Little General'],Little General,,,,,
Charles Bender,bendech01,['Chief'],Chief,,,,,
Andy Benes,benesan01,['Rain Man'],Rain Man,,,,,
Joe Benes,benesjo01,['Bananas'],Bananas,,,,,
Andrew Benintendi,beninan01,['Benny'],Benny,,,,,
Frank Bennett,bennefr01,['Chip'],Chip,,,,,
Fred Bennett,bennefr02,['Red'],Red,,,,,
Joaquin Benoit,benoijo01,"['El Pescador', 'Jack']",El Pescador,Jack,,,,
Allen Benson,bensoal01,['Bullet Ben'],Bullet Ben,,,,,
Rabbit Benton,bentora01,['Stan'],Stan,,,,,
Joe Benz,benzjo01,"['Blitzen', 'Butcher Boy']",Blitzen,Butcher Boy,,,,
Todd Benzinger,benzito01,['Mercedes'],Mercedes,,,,,
Johnny Berardino,berarjo01,['Bernie'],Bernie,,,,,
Jason Bere,bereja01,['Dad'],Dad,,,,,
Juan Berenguer,berenju01,"['Senor Smoke', 'El Gasolino']",Senor Smoke,El Gasolino,,,,
Joe Berger,bergejo01,['Fats'],Fats,,,,,
Marty Berghammer,berghma01,['Pepper'],Pepper,,,,,
Al Bergman,bergmal01,['Dutch'],Dutch,,,,,
Lance Berkman,berkmla01,"['Big Puma', 'Fat Elvis']",Big Puma,Fat Elvis,,,,
Roger Bernadina,bernaro01,['The Shark'],The Shark,,,,,
Joe Bernard,bernajo01,['J.C.'],J.C.,,,,,
Bill Bernhard,bernhbi01,['Strawberry Bill'],Strawberry Bill,,,,,
Dale Berra,berrada01,['Boo Boo'],Boo Boo,,,,,
Jose Berrios,berrijo01,"['The Machine', 'La Maquina', 'Orlandito']",The Machine,La Maquina,Orlandito,,,
Geronimo Berroa,berroge01,['The Chief'],The Chief,,,,,
Claude Berry,berrycl01,['Admiral'],Admiral,,,,,
Joe Berry,berryjo01,['Hodge'],Hodge,,,,,
Joe Berry,berryjo02,['Nig'],Nig,,,,,
Joe Berry,berryjo03,['Jittery Joe'],Jittery Joe,,,,,
Frank Bertaina,bertafr01,['Toys in the Attic'],Toys in the Attic,,,,,
Jon Berti,bertijo01,['Birdman'],Birdman,,,,,
Roman Bertrand,bertrle01,['Lefty'],Lefty,,,,,
Don Bessent,bessedo01,['The Weasel'],The Weasel,,,,,
Dellin Betances,betande01,"['D. Dawg', 'El Acido', 'Dellin Jay']",D. Dawg,El Acido,Dellin Jay,,,
Bill Bethea,bethebi01,['Spot'],Spot,,,,,
Chad Bettis,bettich01,"['Betty', 'Lettuce']",Betty,Lettuce,,,,
Harry Betts,bettsha01,"['Chubby', 'Ginger']",Chubby,Ginger,,,,
Mookie Betts,bettsmo01,['Mookie Batts'],Mookie Batts,,,,,
Joe Biagini,biagijo01,"['Gini', 'Genie', 'Joe The Great', 'Jeffrey']",Gini,Genie,Joe The Great,Jeffrey,,
Austin Bibens-Dirkx,bibenau01,['El Rubio'],El Rubio,,,,,
Charlie Bicknell,bicknch01,['Bud'],Bud,,,,,
Jesse Biddle,biddlje01,['JB'],JB,,,,,
Shane Bieber,biebesh01,['Not Justin'],Not Justin,,,,,
Ed Biecher,beeched02,['Scrap Iron'],Scrap Iron,,,,,
Carson Bigbee,bigbeca01,['Skeeter'],Skeeter,,,,,
